,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jumla,29.2747,82.1838,50.99,75,36,4.03,NP,2022-05-21 23:53:42
1,Klaksvik,62.2266,-6.589,47.32,89,100,13.09,FO,2022-05-21 23:53:42
2,Bluff,-46.6,168.3333,50.32,73,98,25.79,NZ,2022-05-21 23:53:43
3,Rikitea,-23.1203,-134.9692,75.56,75,7,10.47,PF,2022-05-21 23:53:43
4,Clyde River,70.4692,-68.5914,23.23,86,100,6.91,CA,2022-05-21 23:53:43
5,Geraldton,-28.7667,114.6,55.81,94,100,12.66,AU,2022-05-21 23:53:44
6,Balakhta,55.38,91.6,59.22,51,41,1.48,RU,2022-05-21 23:53:44
7,New Norfolk,-42.7826,147.0587,49.91,88,72,1.01,AU,2022-05-21 23:53:45
8,Saskylakh,71.9167,114.0833,34.14,97,80,5.53,RU,2022-05-21 23:53:45
9,Provideniya,64.3833,-173.3,52.72,45,100,8.75,RU,2022-05-21 23:53:45
10,Vaini,-21.2,-175.2,80.76,74,40,5.75,TO,2022-05-21 23:53:46
11,Roma,43.2128,-75.4557,78.69,79,100,1.74,US,2022-05-21 23:53:46
12,Laguna,38.421,-121.4238,89.76,12,0,9.22,US,2022-05-21 23:53:47
13,Kruisfontein,-34.0033,24.7314,49.89,86,1,4.81,ZA,2022-05-21 23:53:47
14,Dongsheng,39.8161,109.9776,64.89,38,43,8.28,CN,2022-05-21 23:53:47
15,Sol-Iletsk,51.1631,54.9918,36.37,92,78,7.67,RU,2022-05-21 23:53:48
16,Qaanaaq,77.484,-69.3632,17.35,87,100,2.1,GL,2022-05-21 23:53:48
17,Teguise,29.0605,-13.564,64.62,73,20,16.11,ES,2022-05-21 23:53:49
18,Tacoaleche,22.8167,-102.4167,85.87,12,0,11.14,MX,2022-05-21 23:53:49
19,Bondoukou,8.0333,-2.8,69.33,96,100,3.02,CI,2022-05-21 23:53:50
20,Ahipara,-35.1667,173.1667,62.74,71,100,11.92,NZ,2022-05-21 23:53:50
21,Khorixas,-20.3667,14.9667,56.41,14,2,8.05,NA,2022-05-21 23:53:51
22,Hithadhoo,-0.6,73.0833,82.54,72,69,9.8,MV,2022-05-21 23:53:51
23,Georgetown,5.4112,100.3354,82.33,93,20,2.3,MY,2022-05-21 23:53:52
24,Ancud,-41.8697,-73.8203,53.11,94,100,23.76,CL,2022-05-21 23:53:52
25,Hermanus,-34.4187,19.2345,56.62,77,21,5.73,ZA,2022-05-21 23:53:52
26,Lorengau,-2.0226,147.2712,83.79,76,95,9.15,PG,2022-05-21 23:53:53
27,Benguela,-12.5763,13.4055,68.95,81,88,3.13,AO,2022-05-21 23:53:53
28,Tafalla,42.5269,-1.6745,74.28,35,99,6.17,ES,2022-05-21 23:53:54
29,Bambous Virieux,-20.3428,57.7575,73.65,78,20,1.14,MU,2022-05-21 23:53:54
30,Port Alfred,-33.5906,26.891,57.81,81,42,6.38,ZA,2022-05-21 23:53:55
31,Constitucion,-35.3333,-72.4167,53.78,73,100,7.74,CL,2022-05-21 23:53:55
32,Kudahuvadhoo,2.6708,72.8944,82.29,78,73,11.45,MV,2022-05-21 23:53:56
33,Albany,42.6001,-73.9662,85.17,68,18,2.28,US,2022-05-21 23:53:56
34,Saint-Philippe,-21.3585,55.7679,69.39,78,81,9.71,RE,2022-05-21 23:53:57
35,Busselton,-33.65,115.3333,60.75,80,0,13.06,AU,2022-05-21 23:53:57
36,Paamiut,61.994,-49.6678,38.48,83,81,33.02,GL,2022-05-21 23:53:58
37,Athmallik,20.7219,84.5348,84.99,57,64,4.18,IN,2022-05-21 23:53:58
38,Hobart,-42.8794,147.3294,50.25,85,75,13.8,AU,2022-05-21 23:53:59
39,Butaritari,3.0707,172.7902,80.8,81,77,11.43,KI,2022-05-21 23:53:59
40,Arraial Do Cabo,-22.9661,-42.0278,69.78,70,5,6.4,BR,2022-05-21 23:54:00
41,Belmonte,-15.8631,-38.8828,73.27,64,15,10.4,BR,2022-05-21 23:54:00
42,Bredasdorp,-34.5322,20.0403,52.02,86,19,5.68,ZA,2022-05-21 23:55:01
43,Melfi,40.9965,15.6514,57.49,89,19,7.58,IT,2022-05-21 23:55:01
44,Vila Franca Do Campo,37.7167,-25.4333,70.2,95,87,4.61,PT,2022-05-21 23:55:02
45,Dingle,10.9995,122.6711,81.18,83,100,4.81,PH,2022-05-21 23:55:02
46,Ushuaia,-54.8,-68.3,37.06,75,0,2.3,AR,2022-05-21 23:55:03
47,Norman Wells,65.282,-126.8329,46.44,71,75,11.5,CA,2022-05-21 23:55:04
48,Zhangye,38.9342,100.4517,68.56,28,34,3.96,CN,2022-05-21 23:55:04
49,Santa Fe,-31.6333,-60.7,62.01,75,100,1.99,AR,2022-05-21 23:55:05
50,Castro,-24.7911,-50.0119,46.6,76,6,1.9,BR,2022-05-21 23:55:05
51,Moree,-29.4667,149.85,57.29,83,100,6.44,AU,2022-05-21 23:55:06
52,Punta Arenas,-53.15,-70.9167,33.91,86,0,5.75,CL,2022-05-21 23:52:04
53,Beloha,-25.1667,45.05,66.74,46,1,5.23,MG,2022-05-21 23:55:06
54,Fallon,39.4735,-118.7774,69.67,9,40,8.05,US,2022-05-21 23:55:07
55,Mahebourg,-20.4081,57.7,73.69,78,20,1.14,MU,2022-05-21 23:55:07
56,Ust-Nera,64.5667,143.2,41.02,69,90,2.17,RU,2022-05-21 23:55:07
57,Mataura,-46.1927,168.8643,46.08,96,100,9.13,NZ,2022-05-21 23:55:08
58,Leningradskiy,69.3833,178.4167,33.89,97,99,11.01,RU,2022-05-21 23:55:08
59,Mount Gambier,-37.8333,140.7667,53.15,68,6,5.32,AU,2022-05-21 23:55:09
60,Jamestown,42.097,-79.2353,71.19,91,100,6.91,US,2022-05-21 23:55:09
61,Victoria,22.2855,114.1577,77.97,88,95,13.0,HK,2022-05-21 23:51:21
62,Khatanga,71.9667,102.5,35.37,89,99,5.57,RU,2022-05-21 23:55:10
63,Port Hueneme,34.1478,-119.1951,77.5,65,22,7.0,US,2022-05-21 23:55:10
64,Hilo,19.7297,-155.09,92.28,84,59,7.0,US,2022-05-21 23:55:02
65,Puerto Ayora,-0.7393,-90.3518,72.55,91,81,4.0,EC,2022-05-21 23:55:11
66,Faanui,-16.4833,-151.75,80.53,70,14,9.4,PF,2022-05-21 23:55:11
67,Bakchar,57.0186,82.0711,51.87,74,28,6.13,RU,2022-05-21 23:55:12
68,Saldanha,-33.0117,17.9442,46.45,80,53,6.89,ZA,2022-05-21 23:55:12
69,Havelock,34.8791,-76.9013,80.58,81,0,11.5,US,2022-05-21 23:50:12
70,Torbay,47.6666,-52.7314,57.97,41,75,6.91,CA,2022-05-21 23:55:13
71,Jaisalmer,26.9147,70.9181,79.92,69,0,17.76,IN,2022-05-21 23:55:13
72,Ribeira Grande,38.5167,-28.7,64.31,95,78,2.33,PT,2022-05-21 23:55:13
73,Lolodorf,3.2333,10.7333,71.44,100,100,1.81,CM,2022-05-21 23:55:14
74,Walvis Bay,-22.9575,14.5053,49.15,81,1,4.61,NA,2022-05-21 23:55:14
75,Ilhabela,-23.7781,-45.3581,65.16,83,14,5.7,BR,2022-05-21 23:55:15
76,Atuona,-9.8,-139.0333,77.94,77,18,9.22,PF,2022-05-21 23:55:15
77,Tupelo,34.2576,-88.7034,89.89,52,0,4.61,US,2022-05-21 23:50:38
78,Hirara,24.8,125.2833,73.67,94,75,5.75,JP,2022-05-21 23:55:16
79,Longyearbyen,78.2186,15.6401,35.44,80,75,12.66,SJ,2022-05-21 23:55:16
80,Tsiroanomandidy,-18.7667,46.0333,58.69,82,21,2.46,MG,2022-05-21 23:55:17
81,Ostrovnoy,68.0531,39.5131,29.77,76,23,7.85,RU,2022-05-21 23:55:17
82,Kuytun,54.3419,101.5036,56.07,71,100,4.09,RU,2022-05-21 23:55:18
83,Saint-Louis,16.3333,-15.0,78.44,55,91,15.12,SN,2022-05-21 23:55:18
84,Barrow,71.2906,-156.7887,30.56,82,99,10.63,US,2022-05-21 23:55:19
85,Qaqortoq,60.7167,-46.0333,38.52,82,22,4.05,GL,2022-05-21 23:55:19
86,Kapaa,22.0752,-159.319,81.48,81,22,5.99,US,2022-05-21 23:56:20
87,Kuybysheve,47.358,36.6491,53.51,87,100,16.87,UA,2022-05-21 23:56:20
88,Danshui,22.7984,114.4672,74.41,88,100,7.54,CN,2022-05-21 23:56:21
89,Yaring,6.8662,101.3689,81.28,85,100,7.85,TH,2022-05-21 23:56:21
90,Namibe,-15.1961,12.1522,66.96,68,3,1.74,AO,2022-05-21 23:56:22
91,Kahului,20.8947,-156.47,79.84,80,20,15.99,US,2022-05-21 23:56:22
92,Jiayuguan,39.8167,98.3,64.87,23,1,4.03,CN,2022-05-21 23:56:22
93,Mongar,27.2747,91.2396,56.88,94,74,3.71,BT,2022-05-21 23:56:23
94,Mokrous,51.2333,47.5167,42.87,67,60,7.31,RU,2022-05-21 23:56:23
95,Hervey Bay,-25.2986,152.8535,69.67,82,98,13.65,AU,2022-05-21 23:56:24
96,Labuhan,-6.8844,112.2051,79.39,84,94,8.95,ID,2022-05-21 23:56:24
97,Hidrolandia,-4.4081,-40.4378,72.45,92,83,2.33,BR,2022-05-21 23:56:25
98,Kaitangata,-46.2817,169.8464,48.34,90,97,13.62,NZ,2022-05-21 23:56:25
99,Polunochnoye,60.8697,60.4153,33.67,98,100,10.96,RU,2022-05-21 23:56:26
100,Meulaboh,4.1363,96.1285,77.27,87,100,1.54,ID,2022-05-21 23:56:26
101,Luderitz,-26.6481,15.1594,56.12,60,23,11.12,NA,2022-05-21 23:56:26
102,Solnechnyy,50.7214,136.6319,37.2,96,100,8.19,RU,2022-05-21 23:56:27
103,Bosaso,11.2842,49.1816,83.71,54,98,2.1,SO,2022-05-21 23:56:27
104,Kuching,1.55,110.3333,75.42,100,20,2.3,MY,2022-05-21 23:53:05
105,Codrington,-38.2667,141.9667,51.82,75,6,6.6,AU,2022-05-21 23:56:28
106,Port Macquarie,-31.4333,152.9167,58.89,94,75,4.61,AU,2022-05-21 23:56:28
107,Thompson,55.7435,-97.8558,53.76,20,20,12.66,CA,2022-05-21 23:56:29
108,Wanning,18.8003,110.3967,79.88,86,96,3.44,CN,2022-05-21 23:56:29
109,Ust-Kuyga,70.0167,135.6,33.58,90,42,3.51,RU,2022-05-21 23:56:30
110,Upernavik,72.7868,-56.1549,31.17,82,100,6.78,GL,2022-05-21 23:56:31
111,San Patricio,28.017,-97.5169,90.54,68,5,17.34,US,2022-05-21 23:56:31
112,Opuwo,-18.0607,13.84,52.9,16,0,4.92,NA,2022-05-21 23:56:32
113,Sechura,-5.5569,-80.8222,70.66,70,52,16.2,PE,2022-05-21 23:56:32
114,Beysehir,37.6773,31.7246,55.53,45,20,2.26,TR,2022-05-21 23:56:33
115,Avarua,-21.2078,-159.775,80.65,78,75,12.66,CK,2022-05-21 23:56:34
116,Tiksi,71.6872,128.8694,29.66,94,100,4.85,RU,2022-05-21 23:56:34
117,Sorland,67.667,12.6934,44.46,89,90,5.03,NO,2022-05-21 23:56:35
118,Peterhead,57.5058,-1.7981,54.0,87,79,11.34,GB,2022-05-21 23:56:35
119,Cabo San Lucas,22.8909,-109.9124,82.62,66,3,11.7,MX,2022-05-21 23:55:59
120,Alofi,-19.0595,-169.9187,84.09,70,20,4.61,NU,2022-05-21 23:56:36
121,Ushirombo,-3.4919,31.9639,62.91,81,99,4.25,TZ,2022-05-21 23:56:36
122,Murgab,37.4966,61.9714,58.87,82,40,4.61,TM,2022-05-21 23:56:37
123,Lago Da Pedra,-4.3333,-45.1667,72.64,96,61,1.68,BR,2022-05-21 23:56:37
124,Kigoma,-4.8769,29.6267,73.54,73,91,3.76,TZ,2022-05-21 23:56:38
125,Linqing,36.8456,115.7117,79.77,38,87,13.96,CN,2022-05-21 23:56:38
126,Vestmannaeyjar,63.4427,-20.2734,49.75,82,90,6.73,IS,2022-05-21 23:56:38
127,Severo-Kurilsk,50.6789,156.125,45.72,87,93,7.07,RU,2022-05-21 23:56:39
128,Ventspils,57.3894,21.5606,49.93,87,0,11.5,LV,2022-05-21 23:56:39
129,Egvekinot,66.3167,-179.1667,46.56,52,27,1.95,RU,2022-05-21 23:56:40
130,Fortuna,40.5982,-124.1573,63.86,74,0,17.27,US,2022-05-21 23:56:40
131,Kasongo-Lunda,-6.4667,16.8167,70.97,92,97,2.48,CD,2022-05-21 23:56:41
132,Bethel,41.3712,-73.414,82.42,73,0,5.46,US,2022-05-21 23:56:41
133,Namatanai,-3.6667,152.4333,84.74,63,50,8.63,PG,2022-05-21 23:57:42
134,Lavrentiya,65.5833,-171.0,38.16,93,96,10.69,RU,2022-05-21 23:57:42
135,Sao Filipe,14.8961,-24.4956,72.32,80,36,7.61,CV,2022-05-21 23:57:42
136,Tasiilaq,65.6145,-37.6368,32.47,73,100,0.98,GL,2022-05-21 23:57:43
