City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lodeynoye Pole,RU,2022-05-10 23:27:58,60.726,33.5531,39.76,76,24,4.05,RU,2022-05-10 23:27:58
1,Fortuna,US,2022-05-10 23:27:59,40.5982,-124.1573,57.92,61,20,13.8,US,2022-05-10 23:27:59
2,Jamestown,US,2022-05-10 23:27:59,42.097,-79.2353,76.64,12,0,0.0,US,2022-05-10 23:27:59
3,Chudniv,UA,2022-05-10 23:28:00,50.052,28.1175,45.45,64,100,5.79,UA,2022-05-10 23:28:00
4,Rikitea,PF,2022-05-10 23:23:13,-23.1203,-134.9692,76.87,70,3,15.66,PF,2022-05-10 23:23:13
5,Hilo,US,2022-05-10 23:23:42,19.7297,-155.09,82.27,77,75,13.8,US,2022-05-10 23:23:42
6,Vaini,TO,2022-05-10 23:23:15,-21.2,-175.2,80.76,61,20,8.05,TO,2022-05-10 23:23:15
7,Isangel,VU,2022-05-10 23:28:01,-19.55,169.2667,82.51,65,75,6.91,VU,2022-05-10 23:28:01
8,Yazman,PK,2022-05-10 23:28:01,29.1212,71.7446,91.44,14,1,11.59,PK,2022-05-10 23:28:01
9,Busselton,AU,2022-05-10 23:28:02,-33.65,115.3333,60.49,82,89,1.12,AU,2022-05-10 23:28:02
10,Klaksvik,FO,2022-05-10 23:28:03,62.2266,-6.589,45.52,86,91,6.22,FO,2022-05-10 23:28:03
11,Albany,US,2022-05-10 23:23:38,42.6001,-73.9662,72.01,53,0,6.42,US,2022-05-10 23:23:38
12,Lufilufi,WS,2022-05-10 23:28:03,-13.8745,-171.5986,89.38,70,33,14.65,WS,2022-05-10 23:28:03
13,Ilulissat,GL,2022-05-10 23:28:04,69.2167,-51.1,24.82,58,34,8.05,GL,2022-05-10 23:28:04
14,Atuona,PF,2022-05-10 23:28:04,-9.8,-139.0333,78.55,68,36,19.06,PF,2022-05-10 23:28:04
15,Mataura,NZ,2022-05-10 23:23:20,-46.1927,168.8643,52.48,69,14,3.0,NZ,2022-05-10 23:23:20
16,Carnarvon,AU,2022-05-10 23:28:05,-24.8667,113.6333,68.07,94,94,5.75,AU,2022-05-10 23:28:05
17,Saskylakh,RU,2022-05-10 23:24:37,71.9167,114.0833,19.85,87,100,3.36,RU,2022-05-10 23:24:37
18,Miles City,US,2022-05-10 23:28:06,46.4083,-105.8406,63.57,20,0,2.35,US,2022-05-10 23:28:06
19,Cape Town,ZA,2022-05-10 23:24:08,-33.9258,18.4232,60.12,93,75,11.5,ZA,2022-05-10 23:24:08
20,Dawei,MM,2022-05-10 23:28:07,14.0833,98.2,77.74,90,81,2.51,MM,2022-05-10 23:28:07
21,Rawson,AR,2022-05-10 23:28:07,-43.3002,-65.1023,52.47,72,0,10.02,AR,2022-05-10 23:28:07
22,Chuy,UY,2022-05-10 23:28:08,-33.6971,-53.4616,60.58,90,100,5.08,UY,2022-05-10 23:28:08
23,Lebu,CL,2022-05-10 23:28:08,-37.6167,-73.65,51.39,77,100,8.95,CL,2022-05-10 23:28:08
24,Ushuaia,AR,2022-05-10 23:28:09,-54.8,-68.3,40.66,75,0,5.75,AR,2022-05-10 23:28:09
25,Tuktoyaktuk,CA,2022-05-10 23:28:09,69.4541,-133.0374,30.2,80,40,11.5,CA,2022-05-10 23:28:09
26,Pechora,RU,2022-05-10 23:28:10,65.1472,57.2244,30.16,88,1,0.72,RU,2022-05-10 23:28:10
27,Port Lincoln,AU,2022-05-10 23:28:10,-34.7333,135.8667,59.25,66,0,7.61,AU,2022-05-10 23:28:10
28,Lavrentiya,RU,2022-05-10 23:28:11,65.5833,-171.0,32.77,98,100,6.44,RU,2022-05-10 23:28:11
29,Bandar-E Lengeh,IR,2022-05-10 23:28:12,26.5579,54.8807,79.79,59,0,4.36,IR,2022-05-10 23:28:12
30,Ipixuna,BR,2022-05-10 23:28:12,-1.7625,-48.8043,73.31,97,100,2.82,BR,2022-05-10 23:28:12
31,Port Alfred,ZA,2022-05-10 23:28:13,-33.5906,26.891,68.38,44,99,11.34,ZA,2022-05-10 23:28:13
32,Praia,CV,2022-05-10 23:28:13,14.9215,-23.5087,73.94,73,0,14.97,CV,2022-05-10 23:28:13
33,Kutum,SD,2022-05-10 23:25:12,14.2,24.6667,78.75,11,49,8.84,SD,2022-05-10 23:25:12
34,Te Anau,NZ,2022-05-10 23:28:14,-45.4167,167.7167,45.88,75,29,1.1,NZ,2022-05-10 23:28:14
35,Chokurdakh,RU,2022-05-10 23:26:21,70.6333,147.9167,15.48,92,100,8.93,RU,2022-05-10 23:26:21
36,Hithadhoo,MV,2022-05-10 23:28:15,-0.6,73.0833,83.53,76,100,16.64,MV,2022-05-10 23:28:15
37,Bilibino,RU,2022-05-10 23:28:16,68.0546,166.4372,32.18,97,99,5.1,RU,2022-05-10 23:28:16
38,Katsuura,JP,2022-05-10 23:28:16,35.1333,140.3,61.36,77,100,8.79,JP,2022-05-10 23:28:16
39,Yellowknife,CA,2022-05-10 23:28:05,62.456,-114.3525,36.12,64,100,6.91,CA,2022-05-10 23:28:05
40,Rio Grande,BR,2022-05-10 23:23:28,-32.035,-52.0986,62.71,89,100,3.11,BR,2022-05-10 23:23:28
41,Mar Del Plata,AR,2022-05-10 23:29:17,-38.0023,-57.5575,54.88,78,75,11.5,AR,2022-05-10 23:29:17
42,Hobart,AU,2022-05-10 23:29:18,-42.8794,147.3294,50.05,82,0,6.91,AU,2022-05-10 23:29:18
43,Lagoa,PT,2022-05-10 23:29:18,39.05,-27.9833,59.54,84,93,21.47,PT,2022-05-10 23:29:18
44,Barrow,US,2022-05-10 23:29:19,71.2906,-156.7887,24.82,74,100,13.8,US,2022-05-10 23:29:19
45,Dingle,PH,2022-05-10 23:29:19,10.9995,122.6711,81.07,79,75,5.68,PH,2022-05-10 23:29:19
46,Mount Isa,AU,2022-05-10 23:26:17,-20.7333,139.5,65.97,94,100,9.22,AU,2022-05-10 23:26:17
47,Hvolsvollur,IS,2022-05-10 23:29:20,63.7533,-20.2243,42.75,64,81,7.54,IS,2022-05-10 23:29:20
